rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
3.94,118,126,241664,3.8593857288360596,1906,0.5548420548439026,-0.010710191770340317,0.0003,-0.6794134377501905,1.2350270748138428,2.9200372572988273,0.241259765625,1170,0.2,0.10669422
4.08,119,126,243712,3.641385555267334,1922,0.5395419597625732,-0.00643417140818201,0.0003,-0.73986178021878,1.349327564239502,3.0977115128189325,0.2345703125,1180,0.2,0.105049446
4.03,120,126,245760,3.7323858737945557,1938,0.5487338900566101,-0.009946476487675682,0.0003,-0.7731525522656739,1.541021466255188,2.9742445148527623,0.255712890625,1190,0.2,0.11940479
3.96,121,126,247808,3.9178006649017334,1955,0.5331491231918335,-0.0072717216040473435,0.0003,-0.7876792357303202,1.6148371696472168,3.040592515096068,0.269921875,1200,0.2,0.17487769
3.73,122,126,249856,4.195385456085205,1971,0.49052000045776367,-0.011707319825654849,0.0003,-0.7576606288552284,1.3126589059829712,3.203870067000389,0.24990234375,1210,0.2,0.12746547
3.85,123,126,251904,4.193386077880859,1987,0.5317291617393494,-0.008550801454111934,0.0003,-0.7336026500910521,0.9958366751670837,2.9722410831600428,0.26064453125,1220,0.2,0.123872325
3.77,124,126,253952,4.267385482788086,2004,0.512622594833374,-0.013452163466718048,0.0003,-0.7711868266575038,1.603204369544983,3.06712573133409,0.2673828125,1230,0.2,0.15678965
3.89,125,126,256000,4.086385726928711,2020,0.5489982962608337,-0.00593587493931409,0.0003,-0.6911665562540292,1.542639136314392,2.789801912009716,0.24326171875,1240,0.2,0.10908429
3.7,126,126,258048,4.329385757446289,2037,0.5632685422897339,-0.0035318621405167503,0.0003,-0.6099337628111243,1.5613597631454468,2.73653420843184,0.241357421875,1250,0.2,0.13611671
4.05,127,126,260096,3.8773856163024902,2053,0.5814465880393982,-0.004967363741889131,0.0003,-0.5762380436062813,1.3184356689453125,2.7551869228482246,0.20927734375,1260,0.2,0.0887482
3.69,128,126,262144,4.377386093139648,2069,0.580935001373291,-0.005943294367170893,0.0003,-0.5984577959403395,1.4290486574172974,2.8025629721581935,0.214892578125,1270,0.2,0.119879685
4.19,129,126,264192,3.5133860111236572,2086,0.5925595760345459,-0.005816539026272949,0.0003,-0.5907427112571895,0.9048008322715759,2.719319757819176,0.206787109375,1280,0.2,0.09884757
3.65,130,126,266240,4.457385540008545,2102,0.5704217553138733,-0.0055352168797981,0.0003,-0.621251559164375,1.4320968389511108,2.8573513731360434,0.21689453125,1290,0.2,0.10357809
4.05,131,126,268288,3.9363858699798584,2119,0.5958052277565002,-0.008538777902140282,0.0003,-0.5814811906777322,1.315896987915039,2.4719295870512723,0.227392578125,1300,0.2,0.14552194
3.65,132,126,270336,4.338385105133057,2135,0.52772057056427,-0.005676559216226451,0.0003,-0.6637420361861587,1.087450385093689,2.839448069408536,0.27373046875,1310,0.2,0.17102543
3.96,133,126,272384,3.9873852729797363,2152,0.5394350290298462,-0.008098122387309559,0.0003,-0.6338162530213595,1.6823980808258057,2.929642639681697,0.25185546875,1320,0.2,0.14189462
3.83,134,126,274432,4.158385753631592,2168,0.5635408163070679,-0.007027612236561254,0.0003,-0.6681090688332916,1.0032627582550049,2.8048760265111925,0.247705078125,1330,0.2,0.102863036
3.63,135,126,276480,4.528385162353516,2185,0.5431549549102783,-0.014109976147301495,0.0003,-0.562820789590478,1.5221108198165894,2.8099694918841123,0.244140625,1340,0.2,0.103555664
4.1,136,126,278528,3.718385934829712,2201,0.5856799483299255,-0.007431039330549538,0.0003,-0.583220157166943,1.0640114545822144,2.658272424712777,0.22724609375,1350,0.2,0.10938374
3.72,137,126,280576,4.195385456085205,2217,0.5394033789634705,-0.011267199349822477,0.0003,-0.6313451367430389,1.6619787216186523,2.932519342750311,0.239892578125,1360,0.2,0.13308056
3.88,138,126,282624,3.9903862476348877,2234,0.5610685348510742,-0.0038387997774407268,0.0003,-0.6203190171159804,1.4176456928253174,3.0344226963818075,0.23056640625,1370,0.2,0.13021457
3.9,139,126,284672,3.958385705947876,2250,0.5500472784042358,-0.0062170252786017954,0.0003,-0.6521696649491787,1.3300728797912598,3.096328718215227,0.2419921875,1380,0.2,0.12264387
3.82,140,126,286720,4.1613850593566895,2267,0.5558997988700867,-0.004632669531565626,0.0003,-0.633881084062159,2.089043378829956,3.080893165618181,0.23046875,1390,0.2,0.092080355
3.97,141,126,288768,3.8613858222961426,2283,0.5700323581695557,-0.008227633615024387,0.0003,-0.6227252907119691,1.4060513973236084,2.774379075318575,0.231689453125,1400,0.2,0.14504668
3.83,142,126,290816,4.075385570526123,2300,0.5484482645988464,-0.008177288679871709,0.0003,-0.6621703307144344,1.21095609664917,2.9037399750202892,0.22255859375,1410,0.2,0.08734344
3.94,143,126,292864,3.9233853816986084,2316,0.5765972137451172,-0.0048172521404922005,0.0003,-0.6614604406058788,0.9589593410491943,2.8240946754813194,0.221044921875,1420,0.2,0.078205995
